,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
10,2,False,3078,3158,3031,3142,0,0,2052,10,11,8,2,2,2,116,1,0,0,0,0,70467,8104,58680,3682,692,18763,1259,15148,2354,4170,1,11585,753,753,0,9,21540,10351,11106,83,12172,10983,1,0,43,0,129,16,0,0,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,703,433,269,9111,279,180,0,9104,7,20,0,8014,436,0,0,8233,6,40,0,8236,14,0,0,8000,8200,5005.0,5008.0,5001.0,1042,1580650626417,41,4393913003,100,93825,113372,0.1999786837196909,0
11,7,True,3047,3075,3373,0,0,0,2052,1,7,36,0,1,0,132,0,0,0,0,0,26440,21666,3842,931,33,14797,12296,1754,746,10189,5,36104,1076,1076,0,54,23375,3150,17808,2416,8476,7850,0,0,17,0,161,14,0,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,987,858,0,8446,760,0,0,8444,1768,0,0,8451,208,0,0,8224,595,0,0,8237,341,0,0,8400,8200,5008.0,5002.0,5001.0,870,1580649487485,12,4393800438,200,86489,89244,0.1658038635650576,0
12,7,True,3071,3748,3111,3043,3147,0,2052,18,8,33,7,3,4,234,3,2,0,0,0,79834,2180,76836,817,0,36041,1340,33883,817,7023,1,25239,3021,3021,0,46,25347,8928,15266,1151,14959,13050,4,0,57,0,155,18,0,0,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1821,0,0,8139,1376,0,0,8138,18,0,0,8135,2193,5,0,9111,2072,510,0,8014,1139,0,0,8100,8000,5005.0,5008.0,5002.0,1141,1580635487604,59,4393630943,200,94288,157425,0.22894076544386216,0
13,6,True,3029,3111,3068,3116,3151,3083,2052,14,11,48,4,2,3,165,1,0,0,0,0,121920,105304,7049,9566,0,65321,52428,3796,9096,4994,1,40484,1373,1373,0,121,47718,24617,15639,7461,16455,15000,0,0,67,0,577,18,0,0,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,2699,2562,0,8446,600,0,0,8444,3786,0,0,8451,344,0,0,8224,939,0,0,8237,724,0,0,8400,8200,5008.0,5002.0,5001.0,1504,1580488928192,32,4390976381,200,164028,235323,0.27758017703326915,0
14,6,True,3029,3068,3111,1006,0,0,2052,5,4,20,3,1,1,267,0,0,0,0,0,19023,7079,11279,664,0,8667,3751,4296,619,2450,1,8123,2513,2513,0,20,13970,1147,9518,3303,7480,6750,0,0,20,0,46,12,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,683,502,0,8446,968,0,0,8444,1231,0,0,8451,168,0,0,8224,188,0,0,8237,307,0,0,8400,8200,5008.0,5002.0,5001.0,661,1580488051302,113,4390983258,200,31211,53578,0.16176415693008325,0
15,6,True,3029,3020,3100,3285,3135,0,2052,11,9,34,3,2,3,212,2,0,0,0,0,90644,82121,7535,987,0,36282,30516,4778,987,7895,1,22446,2821,2821,0,59,29346,20345,8186,815,13149,12750,0,1,61,0,367,18,0,0,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2679,0,0,8226,250,482,0,8210,0,0,0,8236,48,0,0,8138,30,0,0,8105,16,5,0,8200,8100,5008.0,5008.0,5001.0,1212,1580068960786,245,4384578228,200,107613,163079,0.22248112877807688,0
16,1,False,3147,3142,3071,3078,3158,1053,2052,13,14,24,4,3,3,198,2,1,0,0,0,89012,0,86716,2296,527,35394,0,33628,1765,5741,1,21271,2114,2114,0,8,37447,9997,26484,965,15393,14333,1,0,53,0,140,18,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1754,0,0,8139,1570,0,0,8138,18,0,0,8135,3098,5,0,9111,1121,370,0,8014,901,0,0,8100,8000,5005.0,5008.0,5002.0,1450,1580067318438,91,4384621071,100,171537,166972,0.2063344934329037,0
17,3,True,3029,3157,3100,3089,3020,0,2052,8,11,41,2,2,1,196,1,0,0,0,0,101808,92501,7629,1677,0,32039,29092,2719,227,3695,1,34653,2667,2667,0,11,31479,19254,10230,1994,13990,13400,2,1,69,0,57,18,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1799,0,0,8226,250,236,0,8210,0,0,0,8236,48,0,0,8138,30,0,0,8105,15,5,0,8200,8100,5008.0,5008.0,5001.0,1354,1579367878856,131,4371765856,100,164276,133335,0.19503153229930117,0
18,6,True,3071,3111,3147,3156,3052,1037,2052,13,9,20,3,3,4,186,3,1,0,0,0,71469,15,69923,1530,0,26344,15,24838,1490,15000,1,28164,1248,1248,0,30,36464,19925,11586,4953,14560,12475,0,0,56,0,171,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1076,0,0,8139,1624,0,0,8138,18,0,0,8135,2662,5,0,9111,1552,330,0,8014,834,0,0,8100,8000,5005.0,5008.0,5002.0,1360,1577633724027,141,4342534153,200,134718,124877,0.21095958423088318,0
19,2,False,3065,3068,3111,3801,1011,3067,2052,5,8,14,2,2,1,342,1,0,0,0,0,27767,22142,3087,2537,0,11078,9401,929,747,10856,1,35740,0,0,0,36,32918,12539,19248,1130,9956,9300,0,0,14,0,125,16,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,537,383,0,8446,0,0,0,8444,1933,0,0,8451,278,0,0,8224,1065,0,0,8237,352,0,0,8400,8200,5008.0,5002.0,5001.0,1106,1577632455120,154,4342521252,100,83111,145933,0.13329162204762307,0
20,8,True,3083,3111,3065,1028,0,0,2052,5,6,22,2,2,1,110,1,0,0,0,0,29873,15335,13991,546,0,12308,6120,5742,446,975,1,15354,3333,3333,0,31,22461,6805,14745,911,8495,7250,2,0,17,0,262,13,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,700,578,0,8446,1328,0,0,8444,1076,0,0,8451,197,0,0,8224,581,0,0,8237,225,0,0,8400,8200,5008.0,5002.0,5001.0,753,1577631411282,106,4342199227,200,52743,63530,0.19373524319219265,0
