,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
10,6,True,3031,3094,3006,3095,2015,0,2052,16,5,23,7,2,3,261,2,0,0,0,0,71107,6309,64797,0,925,25875,2990,22885,0,2617,1,6487,2017,2017,0,21,12949,5571,7306,71,13039,11100,0,0,60,0,113,17,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,1734,0,0,9111,630,390,0,9103,10,0,0,8014,779,0,0,8236,14,0,0,8275,6,0,0,8000,8200,5005.0,5008.0,5002.0,1024,1586279330635,202,4513612186,200,83379,100247,0.25811246221832074,1
11,1,True,3006,1043,3812,3052,1037,1028,2052,8,6,25,5,4,2,212,1,1,1,0,0,22661,12190,9809,662,0,12550,5180,6707,662,3956,1,21885,1348,1348,0,57,15448,2978,9661,2807,10148,8975,0,0,14,0,245,15,0,0,True,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,50,0,9111,1251,330,0,9105,4,40,0,8014,464,0,0,8451,179,0,0,8446,466,0,0,8000,8400,5008.0,5008.0,5001.0,906,1586201600248,111,4511841140,100,96414,78490,0.13016781795174975,0
12,6,True,3031,3006,3072,3094,3036,0,2052,8,4,32,4,1,2,549,0,0,0,0,0,102995,9404,93590,0,747,28659,2905,25754,0,8191,1,13582,4592,4592,0,13,28478,21012,6585,880,15170,13500,2,1,116,0,190,18,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,2454,0,0,9111,1023,400,0,9103,14,40,0,8014,901,0,0,8139,1896,0,0,8135,1013,5,0,8000,8100,5005.0,5008.0,5002.0,1328,1585782801274,21,4499723624,200,99447,137849,0.20790139935726773,0
13,10,True,3285,2421,2047,3151,3020,0,2052,7,2,31,3,1,2,550,0,0,0,0,0,35943,32649,3294,0,0,16118,15866,252,0,4081,1,4617,427,427,0,60,8951,5872,2876,202,11285,8750,0,0,45,0,72,16,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1574,0,0,8226,250,503,0,8210,0,0,0,8236,24,0,0,9111,972,380,0,8014,421,0,0,8200,8000,5007.0,5008.0,5001.0,866,1585781291353,25,4499648737,200,40064,100743,0.15999126490177978,0
14,7,False,3048,3157,0,3802,1026,3020,2052,3,10,22,0,1,0,264,0,0,0,0,0,58540,53176,3839,1524,0,12177,10466,592,1119,1681,1,11897,0,0,0,25,20712,14626,4861,1224,11378,10325,0,0,38,0,67,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1366,0,0,8226,250,361,0,8210,20,0,0,8236,48,0,0,9111,824,250,0,8014,270,0,0,8200,8000,5007.0,5008.0,5001.0,1300,1585779790928,518,4499703152,200,114798,94784,0.12847104996623904,0
15,10,True,3001,3111,3029,3065,3102,0,2052,16,4,19,8,4,4,322,2,1,1,0,0,44297,35897,6372,2026,0,19449,15867,2063,1518,6350,1,34707,939,939,0,47,25915,18445,6951,518,14344,13600,0,1,33,0,94,18,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1107,0,0,8446,469,0,0,8429,59,15,22,8451,285,0,0,8014,614,0,0,9111,2132,350,0,8400,8000,5008.0,5008.0,5001.0,1173,1585778390944,32,4499538079,200,97127,111275,0.17478319478768817,0
16,2,True,3006,3153,3124,3147,1036,0,2052,10,7,19,4,2,2,231,1,0,0,0,0,51628,6695,44932,0,0,16399,3189,13209,0,2655,1,4322,2701,2701,0,20,15071,2163,12624,283,11959,10950,2,1,55,0,172,16,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,927,20,752,8139,687,0,0,8138,30,0,0,8135,1114,5,0,9111,558,290,0,8014,542,0,0,8100,8000,5005.0,5008.0,5001.0,1112,1585776990442,110,4499592274,100,103438,87189,0.15853941491521492,0
17,3,True,3802,3151,1026,3020,1028,2420,2052,6,6,12,3,3,2,301,1,1,0,0,0,37927,36643,1283,0,0,14083,13829,253,0,1079,1,3550,418,418,0,7,11373,7313,3537,522,9712,7550,1,0,30,0,17,15,0,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,763,0,0,8226,250,282,0,8210,0,0,0,8236,24,0,0,9111,339,180,0,8014,433,0,0,8200,8000,5007.0,5008.0,5001.0,994,1585772991027,63,4499280360,100,77129,79337,0.1825902060184885,0
18,3,False,2051,3111,3075,3379,1028,0,2052,5,8,15,2,1,1,140,0,0,0,0,0,33540,10015,23086,439,15,10158,4728,4990,439,2697,1,26794,0,0,0,34,22155,10399,10420,1336,8771,8560,0,0,32,0,296,14,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,360,0,0,8446,0,0,0,8429,44,19,19,8451,243,0,0,8014,227,0,0,9111,637,200,0,8400,8000,5008.0,5008.0,5001.0,857,1585763329363,516,4498465259,100,65913,74651,0.15411223886031586,0
19,8,False,3006,3153,3124,1042,1042,0,2052,10,4,6,5,2,3,316,2,0,0,0,0,35446,4864,30581,0,0,13121,3199,9922,0,1880,1,3917,127,127,0,29,11186,5245,3990,1950,10664,8300,0,0,27,0,176,15,0,0,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,707,19,928,8139,832,0,0,8138,18,0,0,8135,924,5,0,9111,212,160,0,8014,419,0,0,8100,8000,5005.0,5008.0,5001.0,952,1585760296223,110,4498411820,200,73338,59940,0.21890223556890223,0
