,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
10,7,True,3029,2033,3048,3158,1058,0,2052,9,4,36,3,2,4,431,2,0,0,0,0,21887,18996,2890,0,0,13450,12070,1379,0,10888,5,7828,1053,1053,0,14,16386,9357,6491,537,11883,8450,0,1,14,0,20,17,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,431,5179,0,8226,250,870,0,8233,8,0,0,8237,412,0,0,8014,548,0,0,9111,1115,450,0,8200,8000,5008.0,5008.0,5001.0,1024,1586279330635,37,4513612186,200,83379,100247,0.1341686035492334,1
11,9,False,2033,3153,3006,3008,3031,0,2052,7,9,21,2,2,1,351,1,0,0,0,0,54161,3937,50224,0,213,20735,2446,18288,0,1451,1,9063,863,863,0,40,22051,15211,5503,1336,11425,10700,0,0,31,0,404,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1713,0,0,8226,250,281,0,8233,9,30,0,8237,542,0,0,8014,472,0,0,9111,380,280,0,8200,8000,5008.0,5008.0,5001.0,1169,1585179466369,22,4481292445,200,114915,111592,0.1858108108108108,1
12,3,True,3285,2420,3158,3174,3089,2031,2052,2,6,32,0,1,0,353,0,0,0,0,0,43915,40189,3452,273,0,10586,9718,700,167,11837,13,10630,3096,3096,0,46,17847,9489,7582,775,13398,11700,2,0,25,0,105,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2248,0,0,8226,250,1310,0,8233,12,40,0,8237,542,0,0,8014,209,0,0,9111,569,340,0,8200,8000,5008.0,5008.0,5001.0,1427,1585177763464,40,4481226672,100,144381,142697,0.07331989666230321,1
13,9,True,1026,3157,3136,3089,3020,3285,2052,15,9,22,4,3,5,305,5,2,0,0,0,71641,67295,4107,238,0,36238,35380,619,238,1822,1,9577,1521,1521,0,23,21204,12176,8372,656,15302,14250,0,0,34,0,28,18,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2688,0,0,8226,250,692,0,8233,10,40,0,8237,694,0,0,8014,1066,0,0,9111,1015,370,0,8200,8000,5008.0,5008.0,5001.0,1381,1585176139657,63,4481141160,200,130447,139512,0.25974826538218937,1
14,2,False,3151,2420,3111,3065,3068,3116,2052,5,12,40,3,1,1,213,0,0,0,0,0,66245,56520,4729,4994,0,31076,24061,2260,4754,6281,5,68973,185,185,0,76,46698,16903,27126,2668,14515,14950,0,0,30,0,146,18,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1919,0,0,8463,1282,0,0,8473,815,0,0,8453,494,0,0,9105,5,0,0,9111,2324,450,0,8400,8000,5005.0,5003.0,5001.0,1559,1585174008257,32,4480673738,100,155695,192844,0.19959536272841133,1
15,8,True,3285,2033,3020,1058,0,0,2052,2,5,14,2,2,1,251,1,0,0,0,0,21624,18254,1803,1566,0,11746,10305,156,1284,435,1,1850,683,683,0,21,9014,4361,1061,3592,8008,6150,1,0,9,0,130,13,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1534,0,0,8226,250,202,0,8233,7,20,0,8237,458,0,0,8014,171,0,0,9111,247,160,0,8200,8000,5008.0,5008.0,5001.0,842,1585162778668,161,4480632237,200,38586,56568,0.20764389760995616,1
16,5,False,3083,2033,3111,3075,3068,1033,2052,7,9,27,3,2,1,186,1,0,0,0,0,38056,28340,4377,5339,28,19451,13565,2664,3221,3219,5,44022,46,46,0,47,27771,9437,16704,1629,11937,11500,0,0,13,0,217,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,784,0,0,8463,814,0,0,8473,509,0,0,8453,281,0,0,9105,8,30,0,9111,1777,340,0,8400,8000,5005.0,5003.0,5001.0,1252,1585161114114,32,4480477740,100,123526,116731,0.15746482521898225,1
17,9,True,3156,3153,3006,3087,3031,3072,2052,15,10,18,4,2,4,267,4,0,0,0,0,125393,26336,85980,13077,867,37020,3718,24887,8414,7425,1,22218,71,71,0,1,39532,21978,16899,655,19416,18150,0,1,113,0,3,18,0,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,50,0,9111,726,330,0,9103,23,20,0,8017,2597,0,0,8135,2989,5,0,8139,1729,0,0,8000,8100,5005.0,5008.0,5001.0,1886,1585158772795,67,4480388450,200,216369,200456,0.1846789320349603,1
18,4,False,3001,2033,3111,3110,3078,0,2052,12,13,20,3,3,2,114,2,1,0,0,0,27486,9154,17704,627,0,19753,7572,11663,517,3850,5,47367,74,74,0,45,30278,13733,14850,1693,12297,11983,0,0,5,0,1054,17,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1246,0,0,8463,1682,0,0,8473,491,0,0,8453,346,0,0,9105,8,0,0,9111,1574,320,0,8400,8000,5005.0,5003.0,5001.0,1147,1585157274129,24,4480431393,100,112851,137739,0.17503610956039378,1
19,10,False,3029,2033,3111,3065,3025,3151,2052,13,11,18,6,3,3,197,3,1,0,0,0,54346,40580,7555,6210,0,24371,16459,2750,5160,11923,5,48753,519,519,0,105,47609,23710,22613,1285,14174,13300,0,1,22,0,328,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1753,1450,0,8463,1951,0,0,8473,784,0,0,8453,806,0,0,9105,8,40,0,9111,1741,310,0,8400,8000,5005.0,5003.0,5001.0,1333,1584219574733,31,4454785524,200,162324,124644,0.19552485478643175,1
