,win,championId,champion,kills,deaths,assists,item0,item1,item2,item3,item4,item5,KDA,largestMultiKill,totalDamageDealtToChampions,totalHeal,damageDealtToTurrets,totalDamageTaken,goldEarned,totalMinionsKilled,gameDuration,dmgShare,numberOfGames
133,53.6,350,Yuumi,3.7,4.3,33.4,3089.5,3020.8,2829.9,2369.9,1569.8,838.6,11.5,1.2,13354.7,15999.1,390.8,10833.9,11250.1,8.5,19.8,11.8,517
134,46.2,412,Thresh,5.0,8.2,25.1,2810.5,2924.2,2855.5,2709.5,2166.3,1476.2,4.4,1.3,13155.0,3889.7,790.3,25416.5,11238.8,24.0,19.6,12.2,1143
135,55.4,420,Illaoi,7.9,9.7,16.4,2886.0,2962.7,2959.2,2816.1,2175.5,1332.8,2.8,1.7,24314.6,10214.6,889.7,36978.1,12411.5,55.5,20.1,20.3,390
136,48.9,421,RekSai,10.0,9.1,15.9,3096.7,3022.3,2992.9,2719.1,2091.7,1086.6,3.4,1.9,20555.5,7113.5,834.2,30352.8,12388.5,27.9,20.0,18.4,88
137,57.7,427,Ivern,3.4,6.2,25.6,2901.3,2667.8,2813.1,2759.2,2045.2,1330.0,6.0,1.0,11560.0,5683.3,1156.5,21753.3,10729.1,14.6,19.3,10.3,130
138,42.3,429,Kalista,9.5,9.1,17.7,3034.9,2974.0,2884.8,2644.9,1923.5,1280.9,3.4,2.0,22899.6,4280.4,1913.5,24766.2,12716.7,64.7,19.5,20.9,397
139,47.8,432,Bard,8.1,7.4,22.9,3193.4,2868.8,2842.2,2567.4,1724.1,1039.9,5.3,1.7,21362.7,8707.2,1190.8,22257.9,12170.1,35.6,20.0,18.9,431
140,52.5,497,Rakan,3.9,8.2,28.4,2912.5,3007.4,2948.5,2746.9,2280.7,1425.0,4.7,1.2,12244.0,6856.0,663.1,23071.5,10996.4,15.6,19.8,11.0,379
141,49.9,498,Xayah,9.4,8.6,18.1,2960.0,2857.5,2805.2,2631.9,2007.7,1167.2,3.8,1.8,24068.5,3075.9,1997.8,21387.0,13012.7,71.6,19.7,21.3,1061
142,53.1,516,Ornn,6.5,8.6,22.2,3015.4,3017.7,2967.6,2998.2,2519.7,1528.1,3.8,1.6,19819.1,4215.8,724.1,34834.9,12241.5,42.6,20.5,16.6,416
143,48.0,517,Sylas,10.7,11.0,17.3,3032.6,3037.3,2948.0,2762.2,2099.6,1329.8,2.8,2.0,24784.8,10299.3,714.1,35911.5,12600.4,36.0,20.1,21.2,506
144,51.6,518,Neeko,8.6,8.7,19.3,3115.4,2956.6,2906.1,2475.2,1730.8,977.7,4.0,1.8,24740.0,2109.1,1550.8,19199.3,12331.8,52.2,19.8,21.6,574
145,44.6,523,Aphelios,9.6,9.3,17.9,3098.8,2887.9,2888.8,2840.1,2138.0,1329.5,3.5,2.1,26904.8,4227.8,2121.5,23757.9,13220.1,69.7,20.3,22.5,388
146,46.6,555,Pyke,13.0,9.2,14.2,3108.3,3031.6,3034.4,3055.7,2647.0,1896.7,3.4,2.5,18301.5,7518.8,756.9,24670.7,14019.2,15.1,19.9,15.9,1168
147,52.8,875,Sett,8.7,9.7,19.2,2838.2,2960.6,2903.4,2864.8,2223.4,1404.6,3.2,1.8,24571.2,4925.2,1257.4,37324.5,12410.3,38.4,20.1,20.2,549
