,win,championId,champion,kills,deaths,assists,item0,item1,item2,item3,item4,item5,KDA,largestMultiKill,totalDamageDealtToChampions,totalHeal,damageDealtToTurrets,totalDamageTaken,goldEarned,totalMinionsKilled,gameDuration,dmgShare,numberOfGames
30,51.9,31,Chogath,9.6,8.6,17.9,3006.9,2963.2,2945.2,2762.1,2165.2,1460.4,3.7,1.7,22935.5,7176.2,756.4,37675.6,12720.7,47.6,20.5,19.5,1062
31,54.9,32,Amumu,6.5,9.5,21.8,2818.5,2914.1,2878.2,2732.8,2054.0,1221.3,3.3,1.6,19136.8,2844.8,566.2,29459.5,11515.9,30.0,19.5,16.9,824
32,44.7,33,Rammus,4.6,9.9,21.6,2795.0,2943.5,2918.9,2664.8,2097.5,1242.3,2.9,1.3,15000.1,2924.5,629.3,30682.6,10886.1,24.1,19.3,13.8,215
33,42.9,34,Anivia,7.3,7.5,19.9,2976.8,2881.9,2767.9,2661.8,1780.9,1107.9,4.6,1.6,21199.4,4063.7,978.4,26385.2,12560.4,62.1,20.4,18.0,534
34,52.5,35,Shaco,10.3,8.2,20.2,3133.4,2910.0,2885.1,2581.3,2023.1,1181.5,4.5,1.8,26728.4,2805.3,748.9,20498.2,13071.0,33.3,21.1,21.2,712
35,51.6,36,DrMundo,7.2,8.5,19.1,2785.9,2927.9,2915.2,2820.5,2265.0,1316.9,3.5,1.7,23102.9,7757.9,1134.3,42778.8,11894.5,33.2,19.8,20.5,643
36,56.7,37,Sona,4.7,7.8,30.5,3002.9,2862.6,2815.8,2579.1,1766.3,954.7,5.6,1.3,14479.1,13625.3,1184.4,21735.2,11229.1,18.3,19.3,13.3,830
37,48.9,38,Kassadin,11.3,10.1,15.4,2947.0,2915.7,2817.5,2696.2,1993.8,1270.8,3.0,2.2,23819.1,4967.2,884.6,26147.8,12318.0,38.7,19.3,21.4,509
38,49.1,39,Irelia,10.3,10.2,15.1,2926.1,2995.2,2893.6,2661.0,2072.4,1312.1,2.9,2.2,19880.6,6740.5,899.3,31927.6,12705.0,61.9,19.4,18.3,711
39,49.6,40,Janna,3.7,6.7,29.2,3060.1,2948.1,2955.6,2680.8,1929.5,1030.7,6.2,1.1,13816.0,10871.6,1098.2,16537.8,11371.4,32.9,19.9,12.6,891
40,49.9,41,Gangplank,10.5,8.2,18.7,3053.8,2913.5,2921.9,2681.4,1970.1,1123.7,4.1,1.9,26802.5,9023.6,1116.0,26650.9,13749.9,64.1,20.8,21.7,565
41,46.8,42,Corki,9.4,9.4,20.4,2978.0,2877.4,2858.8,2609.8,1820.9,1148.5,3.6,1.9,27620.0,4195.5,1391.2,23987.7,13025.2,57.8,20.4,22.8,466
42,50.4,43,Karma,6.2,7.3,23.5,3052.6,2897.1,2801.8,2511.4,1618.4,821.3,5.0,1.4,19701.8,3549.6,1019.2,18889.1,11662.5,34.4,19.7,17.8,1000
43,55.9,44,Taric,3.6,8.1,29.6,2784.8,2949.3,2896.9,2759.4,2456.9,1232.0,4.7,1.1,9470.6,12998.1,833.4,28463.7,10938.5,19.1,19.4,8.5,227
44,48.9,45,Veigar,9.4,8.7,19.5,3047.5,2936.0,2861.4,2617.1,1828.2,1117.3,4.0,1.7,23646.7,2582.2,1379.1,20140.5,12876.1,63.0,20.3,19.7,1314
45,54.8,48,Trundle,8.3,9.4,21.3,2941.0,2972.6,2843.3,2770.7,2028.8,1257.1,3.5,1.8,20076.4,15515.7,2229.3,43209.9,12516.0,35.1,20.3,16.3,239
46,52.8,50,Swain,8.5,8.4,23.8,2966.5,2908.1,2880.2,2748.2,2103.1,1238.9,4.6,1.8,26634.4,16091.7,1147.2,40999.5,12539.6,44.8,20.1,22.6,532
47,52.8,51,Caitlyn,10.5,7.8,17.9,2980.0,2897.9,2846.2,2574.2,1957.6,1171.0,4.4,2.0,26975.9,3352.7,2542.2,19455.2,13203.8,66.9,19.8,23.7,1294
48,50.3,53,Blitzcrank,5.6,8.8,21.1,3004.9,2900.6,2894.9,2624.4,1895.4,1083.3,3.5,1.2,16808.1,3551.4,665.3,26875.4,11343.1,19.4,20.2,14.7,941
49,49.9,54,Malphite,9.3,9.9,18.7,3004.4,2900.0,2896.5,2636.9,1980.2,1192.5,3.1,1.9,23614.1,2424.7,850.1,24812.8,12395.7,35.1,20.3,20.1,1222
50,48.4,55,Katarina,12.2,10.6,15.9,3000.3,2963.7,2840.0,2429.5,1796.8,1165.8,2.9,2.5,25162.2,6902.8,553.3,27817.4,12894.6,45.6,19.7,22.5,870
51,45.7,56,Nocturne,11.9,10.3,14.6,3088.9,2979.2,2951.5,2931.1,2236.1,1351.8,2.8,2.2,24188.8,4877.1,1138.6,26376.4,12946.7,47.7,19.7,21.0,197
52,54.3,57,Maokai,5.2,8.6,23.8,3025.4,2915.3,2887.0,2711.3,2172.6,1265.1,4.0,1.3,21159.9,14279.7,618.9,38352.2,11737.6,32.8,20.3,18.0,887
53,50.0,58,Renekton,7.9,9.4,17.0,2938.5,3005.7,2903.7,2702.5,2076.3,1263.1,2.9,1.7,19372.8,8576.3,853.7,36997.6,12071.4,49.6,19.5,17.4,554
54,42.1,59,JarvanIV,8.1,11.1,26.7,3105.1,3057.3,3008.0,2782.5,2098.1,1241.5,3.4,1.7,18987.6,3237.8,797.0,29910.5,12203.0,34.0,19.7,16.9,587
55,45.9,60,Elise,8.7,8.9,17.4,3170.7,2938.1,2778.7,2387.7,1725.6,1027.1,3.4,1.8,23599.5,4256.7,1020.0,22344.5,12153.9,37.3,19.9,20.9,209
56,54.2,61,Orianna,8.0,7.7,25.9,3044.5,2906.0,2876.6,2547.9,1762.5,1019.7,5.3,1.7,22907.3,3121.0,1246.4,19427.0,12580.9,56.0,19.9,19.9,1026
57,51.3,62,MonkeyKing,10.0,9.4,17.1,2945.7,2838.6,2989.7,2841.1,2237.8,1286.5,3.3,2.0,20329.1,4610.7,1169.7,26957.2,12225.5,31.5,19.4,18.8,796
58,53.7,63,Brand,9.6,8.7,20.7,3079.9,2908.4,2866.3,2649.0,1940.8,1128.0,4.2,1.9,30753.2,3427.5,929.4,22326.7,12799.5,44.6,20.6,25.3,1271
59,51.2,64,LeeSin,10.8,9.3,19.5,3029.3,2928.2,2940.4,2812.0,2052.2,1281.9,3.8,1.9,22143.0,4667.4,738.8,27470.5,12533.8,32.7,19.7,19.5,771
60,46.2,67,Vayne,9.5,9.5,13.9,2895.9,2885.6,2797.6,2429.8,1782.1,1200.2,2.8,2.1,21256.5,3813.3,1783.8,22554.5,12393.7,51.0,19.5,19.0,1091
61,48.7,68,Rumble,9.9,10.2,20.6,3025.6,2961.7,2888.7,2696.4,2028.5,1243.8,3.4,2.1,27949.1,3260.3,641.0,26420.5,12765.7,48.1,20.1,23.5,376
62,52.6,69,Cassiopeia,9.1,8.5,18.7,2969.1,2885.9,2673.5,2154.2,1280.1,737.9,3.9,1.9,23517.5,7195.5,1048.8,26144.5,12598.0,54.5,20.0,20.2,466
63,46.4,72,Skarner,5.5,8.8,18.8,2886.9,3072.2,2957.6,2593.7,1888.1,1055.4,3.0,1.5,13100.1,3265.1,870.1,28824.0,11009.3,25.6,19.0,12.4,261
64,54.5,74,Heimerdinger,8.1,8.1,22.0,3132.4,2916.1,2837.5,2587.0,1909.7,1112.1,4.6,1.7,30656.1,2633.9,1094.7,19585.7,13059.9,64.0,20.6,24.7,673
65,51.4,75,Nasus,7.7,9.1,19.8,3104.0,2949.2,2883.9,2642.7,2007.5,1170.3,3.5,1.7,23329.3,3164.6,1504.7,33167.5,12555.7,62.1,20.0,20.6,521
66,44.2,76,Nidalee,9.6,7.6,19.2,3073.7,2889.2,2827.7,2472.7,1704.3,1003.1,4.5,1.7,25866.5,9213.2,1195.2,21867.2,12451.7,30.3,20.3,22.4,1128
67,46.5,77,Udyr,7.1,9.6,14.2,2774.1,3014.4,2858.1,2577.1,1836.8,1070.4,2.5,1.6,15763.4,6054.6,1473.1,30554.7,11529.0,29.8,19.4,14.9,170
68,43.1,78,Poppy,6.6,8.8,17.8,2696.4,2960.6,2959.8,2765.2,2217.8,1284.3,3.0,1.5,16481.2,3080.4,715.8,28294.1,11340.6,27.3,19.5,15.4,504
69,46.1,79,Gragas,7.2,8.9,19.3,3028.7,2929.5,2911.1,2646.6,1908.1,960.6,3.4,1.6,21153.7,9596.0,574.9,31086.5,11674.7,33.3,19.7,18.7,464
70,41.4,80,Pantheon,9.5,9.5,17.8,3013.1,2929.6,2998.2,2791.6,1989.6,1069.0,3.2,1.9,20869.5,4794.0,772.5,27610.2,12187.1,30.7,19.8,18.7,698
71,50.4,81,Ezreal,10.5,7.5,17.4,3016.3,2984.7,2831.4,2717.0,2128.2,1309.4,4.5,1.9,29346.5,3223.7,1815.2,19098.8,12787.4,47.7,19.9,25.4,1324
72,47.9,82,Mordekaiser,10.0,10.0,15.8,2848.5,2922.8,2924.6,2877.9,2239.2,1461.4,2.9,2.0,24188.4,8345.0,711.7,34069.1,12578.5,43.2,20.1,20.9,947
73,51.5,83,Yorick,5.7,8.1,17.1,2865.7,2902.7,2893.7,2738.2,2031.6,850.0,3.4,1.5,17178.1,7067.8,2231.0,29519.2,11317.5,47.3,18.6,16.6,130
74,44.2,84,Akali,11.9,9.6,13.4,2965.6,3010.1,2835.1,2512.8,1844.3,1157.2,3.0,2.2,23503.5,7060.2,674.1,26043.3,12620.5,39.1,19.9,20.5,880
75,46.9,85,Kennen,8.3,9.6,18.8,3049.8,2996.7,2879.5,2597.6,1754.1,1196.1,3.1,1.9,24041.1,2929.4,998.0,22402.3,12337.6,39.8,20.3,20.7,431
76,53.5,86,Garen,10.0,8.5,15.2,2851.0,2908.5,2902.6,2806.8,2176.9,1297.3,3.4,1.8,21273.7,4635.7,1339.5,33592.9,12613.7,44.7,20.0,18.0,956
77,49.7,89,Leona,4.1,9.4,23.5,2892.3,3036.4,2938.4,2712.7,2213.4,1337.0,3.3,1.2,12794.4,3399.0,583.0,29428.0,10975.5,17.4,19.9,11.2,672
78,52.4,90,Malzahar,7.4,8.2,20.6,3106.7,2987.6,2922.7,2665.6,1893.4,1133.9,4.2,1.6,25416.2,2187.8,1308.9,19597.8,12976.0,78.5,20.3,21.5,519
79,45.1,91,Talon,12.1,10.7,15.5,3048.1,3007.0,3010.8,2973.3,2478.4,1445.0,2.8,2.1,25422.3,4199.0,695.3,25731.4,13032.3,50.1,20.0,22.3,326
80,47.2,92,Riven,9.1,10.1,15.3,3039.6,3030.7,3023.9,2664.4,1930.8,1093.4,2.7,1.9,18691.1,4638.6,702.2,27020.3,12131.5,39.1,19.7,16.7,570
81,49.8,96,KogMaw,11.1,9.5,20.4,3023.4,3000.6,2892.3,2690.5,2106.3,1336.1,3.8,2.0,31122.3,3764.7,1720.2,22887.8,13704.3,58.8,20.8,25.3,548
82,44.7,98,Shen,7.2,9.1,24.5,2950.3,3108.3,2930.0,2731.0,2096.0,1364.3,3.8,1.5,18102.9,3768.9,756.9,31574.7,12037.7,30.7,20.0,15.5,333
83,53.8,99,Lux,8.1,6.8,25.6,3115.9,2909.3,2797.2,2485.5,1688.4,994.6,6.3,1.6,24106.4,2332.7,961.2,15873.9,12627.5,47.0,20.4,20.4,1354
84,52.5,101,Xerath,10.5,6.9,23.8,3153.4,2948.6,2836.6,2504.8,1814.6,1019.6,6.2,1.8,31465.7,2539.3,837.4,17328.1,13149.8,53.3,20.5,25.5,800
85,43.4,102,Shyvana,9.3,8.9,16.5,3107.9,2996.0,2821.7,2547.1,1871.1,1040.0,3.3,2.0,25489.7,4112.9,856.4,27418.8,12675.8,53.1,20.3,22.1,692
86,49.2,103,Ahri,8.1,8.3,19.6,3081.8,2920.9,2878.2,2384.5,1722.7,937.7,3.9,1.6,23044.5,4629.7,1151.2,21352.4,12247.2,49.4,20.0,20.4,1131
87,54.0,104,Graves,10.1,8.7,18.8,3023.8,2866.7,2892.8,2769.7,2105.5,1332.9,4.1,1.9,25711.1,5630.8,1491.4,24716.7,13293.8,73.3,20.1,22.0,929
88,47.0,105,Fizz,12.2,10.7,14.5,3047.5,3025.6,2912.7,2558.7,1882.6,1164.5,2.7,2.1,23339.7,3038.6,688.2,24326.0,12737.1,31.1,20.3,19.7,864
89,54.1,106,Volibear,8.3,9.6,20.1,2919.2,2965.3,2974.3,2806.1,2167.1,1120.5,3.4,1.7,19817.0,3655.0,1052.1,36043.5,11735.3,27.9,19.2,18.0,305
90,40.1,107,Rengar,12.0,11.9,13.1,3110.8,2945.7,2922.7,2850.9,2161.6,1352.6,2.3,2.2,23304.4,5862.7,898.5,28877.8,12497.6,33.0,19.7,20.6,352
91,59.1,110,Varus,11.7,7.7,20.7,3035.4,2934.2,2911.1,2747.8,2230.8,1461.4,5.2,2.1,29372.6,3581.0,2006.7,19240.2,13401.4,62.1,19.9,25.4,1253
92,56.3,111,Nautilus,5.4,9.2,23.5,2985.0,2934.8,2946.0,2758.0,2129.4,1237.0,3.5,1.3,16312.7,3694.0,671.8,28763.6,11359.9,27.0,19.7,14.5,947
93,52.7,112,Viktor,10.0,9.0,20.0,3081.5,2902.9,2870.3,2700.2,2068.3,1133.4,3.9,1.9,29887.9,3276.9,1283.5,20783.1,13083.7,61.2,20.3,24.5,406
94,40.6,113,Sejuani,5.7,9.1,22.2,2836.5,2857.8,2793.9,2718.8,2234.7,1269.4,3.4,1.4,17506.5,3710.3,780.4,33742.1,11742.2,37.4,19.9,15.6,187
95,43.5,114,Fiora,9.0,10.1,15.1,3039.8,2946.6,2897.1,2649.0,1622.2,890.2,2.6,1.9,19252.5,8539.0,1182.2,30252.3,11978.7,41.4,19.3,17.8,469
96,54.3,115,Ziggs,7.9,7.5,23.2,3103.3,2882.4,2865.4,2499.0,1722.2,984.5,5.2,1.6,29133.4,2516.4,7510.4,18855.4,12823.5,58.2,20.5,24.7,808
97,47.3,117,Lulu,3.9,7.1,27.3,3069.0,2983.9,2891.0,2670.8,1894.7,1111.7,5.7,1.2,10406.3,3552.5,881.6,17110.5,11168.3,27.2,19.6,9.7,795
98,42.8,119,Draven,9.5,9.4,16.2,2985.9,2900.6,2846.7,2567.9,1869.1,1163.2,3.1,1.9,23590.6,2987.1,1904.2,22715.4,13016.2,60.7,19.5,21.8,866
99,48.7,120,Hecarim,9.7,10.7,18.8,2857.2,2987.4,3027.0,2833.0,2168.2,1377.7,3.0,1.9,21295.6,8279.2,718.2,34046.2,12215.6,32.0,19.5,18.8,193
100,43.2,121,Khazix,12.5,9.9,13.7,3088.0,3031.8,2994.1,2827.6,2278.3,1514.9,3.0,2.2,24409.9,6061.1,818.5,25136.3,12776.7,34.2,19.9,21.3,599
101,47.3,122,Darius,9.2,9.8,15.9,2874.7,2978.7,2923.2,2790.1,2145.2,1270.8,2.8,2.2,19482.0,8154.0,925.5,36581.9,12134.2,42.3,19.5,17.6,897
102,48.5,126,Jayce,11.1,8.7,20.0,2999.2,3007.4,2947.7,2956.1,2482.6,1677.3,4.1,2.0,27885.2,3862.6,1821.7,20886.9,12997.8,47.7,19.9,24.0,550
103,57.3,127,Lissandra,9.4,10.2,22.6,3134.8,2949.6,2885.2,2668.9,1867.9,1159.0,3.7,2.1,28030.1,4050.9,1190.4,25540.7,13112.7,70.5,20.3,22.9,475
104,54.4,131,Diana,10.8,10.3,18.7,3006.9,2932.5,2950.3,2724.9,2093.9,1359.2,3.2,2.2,27614.5,5059.4,1218.2,28352.6,13073.6,51.7,20.4,22.9,526
105,49.6,133,Quinn,9.7,9.8,17.3,3004.1,2918.5,2821.9,2547.1,1748.0,1118.7,3.1,1.8,22662.9,3366.5,1618.0,21139.0,12293.2,46.0,19.1,20.9,691
106,49.8,134,Syndra,9.8,8.8,19.0,3095.9,3004.5,2941.5,2642.6,1936.6,1126.8,3.8,1.8,28167.0,3277.1,1088.9,20739.6,13208.5,70.2,20.6,23.5,607
107,42.8,136,AurelionSol,7.2,9.9,21.2,2969.9,2931.2,2954.3,2785.5,2025.5,1233.3,3.2,1.7,22990.7,4597.9,997.9,28903.2,12372.3,64.3,20.0,19.7,229
108,49.1,141,Kayn,9.1,10.4,15.2,3071.0,3000.0,3078.9,2783.0,1997.3,1305.1,2.6,1.9,20255.4,9096.2,693.0,31708.9,12079.1,34.5,19.9,17.8,281
109,43.0,142,Zoe,9.2,8.3,18.0,3152.1,2860.1,2816.8,2384.8,1565.0,898.1,3.9,1.7,26342.4,3992.1,1047.8,20087.0,12212.6,40.2,19.8,23.3,1057
110,53.7,143,Zyra,7.5,8.2,23.1,3150.7,2935.2,2871.9,2593.6,1753.6,1027.2,4.8,1.7,28820.8,2443.0,1065.1,18741.4,12773.1,59.8,20.6,23.7,618
111,50.9,145,Kaisa,10.8,7.9,18.7,3121.5,2933.8,2852.8,2663.3,1973.1,1197.9,4.5,2.0,29589.1,4026.9,1402.1,19228.9,13362.6,59.3,20.5,24.6,908
112,56.2,150,Gnar,7.6,9.1,20.9,3020.3,2867.8,2869.9,2745.0,2229.7,1140.9,3.5,1.7,22322.2,3915.9,1217.9,32164.7,12280.4,42.3,19.9,18.9,320
113,53.7,154,Zac,6.2,8.9,22.8,2784.7,2916.7,2938.4,2803.3,2092.5,1341.1,3.7,1.5,18963.5,21707.5,575.2,41609.3,11700.6,27.1,19.8,16.1,326
